Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Administered,Administered_Janssen,Administered_Moderna,Administered_Pfizer
2/24/2022,PA,28729125,1504000,10912660,16312465,22046766,763107,8499511,12782703
2/24/2022,IA,6218655,287500,2379620,3551535,4918082,176429,1954591,2786562
2/24/2022,ME,3184150,151900,1255820,1776430,2699754,142600,1099280,1454580
2/24/2022,IL,26091295,1159000,9064940,15867355,21736793,673290,7699266,13335439
2/24/2022,CO,11822075,486100,4365040,6970935,10299034,337448,3989853,5962606
2/24/2022,MS,5272935,223400,2131780,2917755,3755138,91346,1509487,2151752
2/24/2022,TN,12208730,504900,4660840,7042990,9577064,260333,3661984,5600764
2/24/2022,WV,3839685,160900,1533160,2145625,2631484,66326,1135266,1428204
2/24/2022,VA2,7775720,625900,3783880,3365940,7204555,254481,3713783,3236008
2/24/2022,DC,1771405,69900,631980,1069525,1412520,35804,510074,865847
2/24/2022,MI,19969530,928300,7878540,11162690,15173971,460524,5945826,8765510
2/24/2022,CA,85679525,3683900,30644420,51351205,71306336,2272520,26670456,42348125
2/24/2022,NC,20827700,917400,7848160,12062140,16087180,509444,5983379,9593426
2/24/2022,NV,5658010,258100,1949000,3450910,4702645,183822,1617600,2900697
2/24/2022,NY,43788845,1859000,15429000,26500845,37747898,1414921,13658548,22655097
2/24/2022,PW,43990,3800,28500,11690,46408,2346,35793,8191
2/24/2022,RI,2490125,87600,949000,1453525,2125909,64742,809462,1250150
2/24/2022,MT,1876695,104200,772500,999995,1532922,60107,645573,825179
2/24/2022,DD2,6627810,210000,2159340,4258470,7226254,319183,2396471,4487971
2/24/2022,NE,3759510,149300,1326280,2283930,3076310,93286,1107781,1869205
2/24/2022,FL,45510745,2337200,16832380,26341165,36035360,1453975,13320898,21128946
2/24/2022,NJ,20891835,943600,7495160,12453075,16506885,563745,6226236,9714515
2/24/2022,ID,3204890,155700,1244280,1804910,2360131,85707,891504,1379666
2/24/2022,US,688186745,30319000,255016820,402850925,551855907,18400637,207943834,325012738
2/24/2022,AL,9229440,394900,4006360,4828180,6087103,174594,2655454,3256586
2/24/2022,VT,1695750,71200,663480,961070,1344313,52750,524101,766582
2/24/2022,IH2,2776595,104700,1239780,1432115,2163499,39681,1017580,1106067
2/23/2022,PW,43990,3800,28500,11690,46277,2346,35793,8060
2/23/2022,NY,43762545,1857900,15404300,26500345,37710126,1414280,13649356,22627232
2/23/2022,KS,5727115,254300,2190940,3281875,4423470,136383,1679177,2604064
2/23/2022,AS,92810,600,21500,70710,86358,560,21083,64662
2/23/2022,FL,45493245,2336100,16816280,26340865,36035005,1453974,13320733,21128770
2/23/2022,GU,317160,23200,84780,209180,329166,12798,104871,211353
2/23/2022,MT,1874795,104200,770600,999995,1531905,60083,645323,824436
2/23/2022,MS,5264235,223300,2123480,2917455,3752897,91300,1508782,2150288
2/23/2022,GA,20563895,815300,7996940,11751655,14315647,333665,5574342,8369681
2/23/2022,CO,11812275,486100,4355240,6970935,10292687,337303,3987940,5958344
2/23/2022,MI,19950630,928200,7860040,11162390,15120202,460265,5914973,8742855
2/23/2022,UT,5962550,240700,2037560,3684290,5045189,181576,1767035,3096263
2/23/2022,VA2,7774820,625900,3782980,3365940,7201245,254443,3712039,3234480
2/23/2022,CT,8277635,338100,3186860,4752675,7267862,246508,2747782,4272354
2/23/2022,WI,11043045,450300,4111100,6481645,9841313,332128,3763812,5743143
2/23/2022,OH,21881355,969900,8236440,12675015,17184968,617293,6537243,10010514
2/23/2022,PA,28707425,1504000,10890960,16312465,22030656,762741,8494376,12772094
2/23/2022,ME,3179950,151900,1251620,1776430,2698216,142563,1098898,1453468
2/23/2022,RI,2488325,87400,947400,1453525,2124387,64724,808978,1249135
2/23/2022,MO,11040605,422000,4183100,6435505,8635397,247881,3122157,5263038
2/23/2022,LA,7876290,319900,3208720,4347670,6037831,195559,2479069,3360168
2/23/2022,NM,4235645,186100,1651100,2398445,3750432,117076,1525433,2099619
2/23/2022,MH,81080,12600,52700,15780,52349,2650,44572,5125
2/23/2022,TX,58653295,2603100,21081040,34969155,44213504,1518221,16264828,26426148
2/23/2022,IA,6214755,287300,2375920,3551535,4915713,176369,1953902,2784942
2/23/2022,MN,11929670,500200,4216760,7212710,9874746,353870,3586883,5929939
2/23/2022,ID,3203690,155700,1243080,1804910,2357448,85529,890726,1377945
2/23/2022,OK,6967830,321300,2900280,3746250,5709992,151424,2306938,3250233
2/23/2022,NV,5650710,258100,1942000,3450610,4699656,183768,1616849,2898513
2/23/2022,DD2,6627810,210000,2159340,4258470,7225165,319136,2396239,4487187
2/23/2022,MD,14962810,600700,5089300,9272810,11469091,360098,4155128,6937460
2/23/2022,MA,16124190,608100,6109500,9406590,14220734,399399,5571716,8249179
2/23/2022,CA,85646925,3683600,30612220,51351105,71246429,2271238,26655145,42304823
2/23/2022,ND,1310700,52400,499020,759280,1062692,39458,402210,620701
2/23/2022,KY,8347775,378500,3440500,4528775,6303449,232888,2592657,3475541
2/23/2022,DE,2213155,96400,856400,1260355,1727842,61289,664316,1000209
2/23/2022,AZ,14002420,603700,5372820,8025900,11498337,360732,4532663,6580513
2/23/2022,US,687728405,30311400,254575320,402841685,551372287,18391970,207794259,324688496
2/23/2022,HI,3311480,124400,1226220,1960860,2797200,70123,1017073,1709712
2/23/2022,NC,20810700,917300,7831260,12062140,16077664,509267,5980095,9587371
2/23/2022,VA,18678105,772000,6582520,11323585,15838172,498782,5604070,9726237
2/23/2022,MP,121430,3600,25020,92810,105451,1325,14448,89678
2/23/2022,AL,9223840,394900,4000760,4828180,6083317,174495,2654206,3254149
2/23/2022,DC,1769905,69900,630480,1069525,1410920,35773,509666,864688
2/23/2022,WY,930385,48000,408440,473945,729525,28667,318865,381351
2/23/2022,IH2,2775595,104600,1238880,1432115,2161841,39654,1017078,1104938
2/23/2022,IN,12554680,592900,4422200,7539580,9174671,301808,3313886,5529611
2/23/2022,TN,12198430,504300,4651140,7042990,9570831,260214,3660050,5596755
